Фраза;2025-01-01;2025-02-01;2025-03-01;2025-04-01;2025-05-01;2025-06-01;2025-07-01;2025-08-01;2025-09-01;2025-10-01;2025-11-01;2025-12-01;2026-01-01;2026-02-01;2026-03-01;2026-04-01
"купить проточный водонагреватель 24 квт";0;0;0;0;0;0;20;19;5;0;0;0;0;0;0;0
"водонагреватели электрические проточные с защитой от перегрева мощность 3 квт";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"проточный водонагреватель встраиваемый в систему водоснабжения";0;14;17;10;30;41;26;18;5;10;6;0;0;0;10;14
"проточный водонагреватель россия";78;58;93;49;101;97;100;92;73;86;44;56;36;62;46;92
"проточный водонагреватель российского производства";28;19;29;16;50;39;36;24;18;20;18;13;19;14;22;22
"промышленные бойлеры";463;604;577;669;479;533;539;449;473;649;538;494;430;498;560;505
"электрический котел 5 квт для отопления";112;156;83;72;111;62;88;125;258;253;186;181;158;108;88;72
"котел квт 10";5476;5772;4782;4417;4234;4411;4922;5611;7250;7756;7418;7041;6885;6113;5506;5474
"котел электрический 10 квт";358;336;349;224;214;206;231;325;510;548;427;411;369;356;384;369
"электрокотел размеры";286;215;217;205;159;178;220;231;263;434;338;320;315;249;230;277
"размеры электрического котла";251;251;224;207;144;181;210;232;227;291;249;201;214;172;196;166
"электрокотел 10 квт";206;241;178;148;141;132;120;162;300;354;247;251;227;196;188;172
"котел электрический для отопления 10 квт";17;12;19;23;17;17;16;31;40;50;27;30;29;29;30;23
"купить электрокотел 10 квт";16;17;15;10;12;8;19;16;34;44;16;18;21;26;17;20
"электрокотел 10 квт для отопления";40;40;31;25;34;22;19;29;44;47;36;40;36;22;28;24
"электрокотел 10 квт для отопления частного дома";22;10;0;10;14;7;8;0;25;24;20;27;14;0;14;9
"12 квт котел";12602;11922;9426;8233;7844;8128;9585;12630;17297;20975;18033;17462;15654;12224;9975;9729
"котел электрический 12 квт";5420;5067;3710;3514;3403;3523;4108;5789;7914;9895;8320;7858;6396;4916;4120;4032
"котел электрический для отопления 12 квт";748;658;400;336;375;398;487;546;836;1066;1104;968;703;529;423;354
"электрокотел 12 квт для отопления";368;277;238;202;182;193;299;394;477;616;618;421;464;315;223;226
"электрический котел 12 квт купить";387;334;249;247;240;256;371;539;590;676;476;520;450;319;235;323
"эл котел 12 квт";207;237;168;105;108;131;162;158;295;387;322;294;298;223;163;130
"купить электрокотел для отопления 12 квт";58;33;51;58;26;66;106;77;102;125;135;78;113;77;37;83
"электрический котел для отопления частного дома 12квт";0;18;10;9;0;0;0;38;31;16;18;19;20;17;17;0
"электрокотлы 15 квт";1251;1224;891;773;583;613;674;999;1538;1847;1682;1440;1382;1137;718;723
"электрокотел 15квт";191;114;100;93;74;80;88;115;186;213;168;180;141;136;85;88
"котел электрический на 15 квт";81;57;55;68;43;37;48;87;77;145;90;106;96;89;108;139
"электрокотел 15 квт купить";168;224;99;115;63;71;55;129;137;195;158;140;132;102;64;47
"электрокотел 15 квт для отопления";140;120;82;65;45;66;57;96;156;150;130;133;143;88;73;68
"котел 15 квт на сколько квадратов";25;43;9;26;23;24;23;27;33;47;42;40;47;33;12;16
"электрокотел комфорт";177;121;106;75;77;46;82;68;163;214;221;279;222;160;78;110
"20 квт";30818;34081;35904;53748;38364;26878;30790;30906;37194;46297;45195;50109;36453;34338;39840;73964
"котел на 20 квт";592;447;422;323;339;345;438;549;652;834;732;910;807;770;601;524
"котел электрический 20 квт";215;168;116;157;118;99;123;194;227;256;296;301;178;218;200;251
"электрокотел 20 квт";134;138;91;74;59;60;103;113;223;223;177;156;130;96;90;85
"котел электрический для отопления 20 квт";41;33;16;20;10;15;14;34;30;37;52;33;38;7;0;0
"электрокотел 20квт";34;29;17;6;15;9;10;6;32;20;28;9;11;28;7;13
"электрокотел 20 квт для отопления";29;21;34;12;22;13;19;30;54;90;57;55;32;9;15;14
"электрокотел на 20 м2";10;10;14;15;7;13;12;0;7;12;11;14;14;7;0;0
"30 квт";36243;38460;37608;47264;42842;32883;36866;35539;42539;51253;48749;56991;41868;40378;41919;56993
"котел 30 квт";5712;6158;5002;4433;4111;4695;5231;6041;8106;8819;7721;7556;7881;6561;5828;5506
"котел электрический 30 квт";367;370;273;262;200;220;244;344;487;616;455;502;405;351;352;265
"электрокотел 30 квт";283;270;197;155;157;138;221;228;359;479;412;401;309;214;206;207
"котел электрический 30квт";25;29;22;23;16;13;22;65;83;51;20;35;45;33;53;15
"котёл 30 квт отапливаемая площадь";14;26;22;37;19;17;37;44;27;35;19;37;41;21;28;14
"электрокотел 30 квт для отопления купить";22;35;11;7;0;15;31;29;28;20;31;16;16;22;14;9
"электрокотел на 30 кв м";41;37;22;17;14;24;16;19;25;50;39;20;35;22;33;32
"7 5 квт";11316;13200;13511;16276;14645;12039;13232;12569;17235;20075;15718;17331;12237;14749;15797;21708
"электрический котел 7 квт";376;395;354;298;309;305;312;382;618;714;597;548;439;358;295;373
"электрокотел 74";219;157;186;186;121;118;130;113;204;199;220;198;208;165;197;130
"электрокотел на 7 квт";67;101;53;30;44;41;28;59;87;147;72;123;93;83;48;35
"электрокотел с теплообменником";54;48;48;25;18;30;29;45;92;58;31;40;58;46;47;46
"котел электрический для отопления 7 5 квт";0;0;0;0;0;0;0;0;33;76;36;0;0;0;0;0
"12 квт электрокотел";4778;4173;3446;2716;2370;2258;2873;4220;6369;8404;7426;7044;6293;4190;3057;2898
"электрокотел с встроенным насосом";63;64;44;35;55;42;41;86;101;98;88;96;79;49;28;64
"электрокотел со встроенным насосом и расширительным баком";28;21;50;25;37;0;36;48;35;44;24;42;29;20;28;15
"25 квт";25414;28293;28260;32135;27804;24685;28152;26458;30712;37482;34937;37147;27954;28038;30240;39742
"котел электрический 25 квт";109;103;88;95;72;78;117;120;215;161;154;101;145;97;106;115
"электрокотел на 25 квт";24;19;15;6;7;0;0;19;20;41;62;29;33;20;6;8
"котел электрический для отопления 30 квт";62;61;47;36;14;32;29;58;64;128;69;79;74;37;41;22
"7 5 плюс";47459;68093;58885;61708;32451;6881;4688;5375;30900;24877;26451;25403;19376;24466;24574;28312
"100 квт котел";4718;5258;4661;4326;3526;3982;4659;5445;6821;8166;6477;6549;5920;5373;4746;4376
"электрокотел для отопления дома 100 квадратных метров";246;311;300;215;219;159;250;308;432;382;0;0;0;0;0;0
"котел электрический 100 квт";227;251;295;204;138;216;192;298;418;585;379;343;313;279;258;220
"электрокотел на 100 кв м";458;438;329;256;270;197;222;283;381;597;465;381;544;255;213;176
"электрический котел для отопления 100 м2";501;380;294;201;238;169;191;230;308;248;141;163;148;133;74;72
"электрокотел для отопления ресурс";158;111;97;56;35;51;52;83;179;220;181;183;192;121;71;65
"электрический котел для дома 100 кв м";243;192;113;118;0;92;108;184;0;269;198;159;192;103;98;0
"электрокотел 2 квт для отопления";45;92;55;35;16;18;19;45;64;95;85;81;104;85;53;42
"электрический котел на 100 м2";95;68;108;50;69;59;84;69;180;146;129;158;153;68;75;70
"электрокотел на 100 м2";88;99;63;64;43;50;44;52;93;96;89;77;104;58;62;81
"электрокотел 100 квт для отопления";26;29;35;16;20;15;31;39;65;68;78;48;72;64;29;49
"электрический котел 100 квт для отопления";30;58;30;17;18;11;33;56;75;118;61;53;72;31;28;30
"твердотопливный котел с электрическим тэном";73;32;29;42;34;29;20;36;33;49;46;52;55;42;60;30
"электрокотел для отопления частного дома на 220в на 100 кв м купить";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"электрокотел для отопления на 100 м2";0;21;10;15;0;0;0;9;13;22;24;20;33;24;27;33
"котел электрический 100 квт для системы отопления";4;9;9;11;10;4;0;11;35;40;12;15;20;7;7;0
"отопительный котел электрический для частного дома 100 кв м";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"электрокотлы для отопления частного дома 220 вольт на 100 квадратов";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"125 квт";5542;6319;7119;8054;6730;6833;8642;7949;8340;9695;8119;7440;5086;5923;7492;8636
"125 киловатт";555;628;887;1387;682;640;786;592;724;638;603;532;482;482;613;1238
"35 квт";11111;12938;12127;12158;10819;11074;12233;12407;14557;16391;14686;15572;13006;13244;13163;13905
"котел 35 квт";2766;3140;2651;2372;2280;2560;2660;3532;4475;4745;3784;3946;4115;3277;2816;2577
"35 киловатт";1438;1510;1781;1544;1240;1218;1371;1121;1345;1590;1546;1560;1333;1413;1177;1333
"котел электрический 35 квт";63;51;30;45;26;37;40;77;77;89;60;85;49;62;61;44
"40 квт";18839;21397;22079;25940;24793;19307;20754;20417;25080;29687;27885;29296;20564;21155;24903;33562
"котел 40 квт";4346;4504;4150;3678;3224;3560;4010;5094;6792;7534;5962;6062;5524;5013;4449;4254
"40 киловатт";3170;3387;3126;3350;3049;2817;2917;2748;3369;3991;3806;3711;3201;3141;3178;3357
"котел 40 квт настенный";604;688;732;626;555;614;728;853;1088;1170;873;947;812;753;655;714
"электрический котел 40 квт";110;119;100;82;66;87;74;115;189;190;171;171;118;119;117;78
"электрокотел 40 квт для отопления";15;22;10;18;24;23;15;25;25;63;44;37;11;18;0;0
"электрокотел на 40 квадратных метров";26;10;10;16;11;0;13;15;21;26;18;8;21;11;13;14
"45 квт";9338;10053;9942;11683;9911;8488;9741;9508;10749;12087;10686;12595;8690;8809;10228;12825
"котел 45 квт";886;1043;1045;729;658;774;986;1100;1549;1648;1324;1392;1201;1175;835;877
"45 киловатт";763;770;718;865;774;740;740;634;669;777;688;795;648;600;682;879
"котел электрический 45 квт";103;110;108;77;49;98;55;74;242;174;197;151;133;75;143;72
к045;106;95;87;100;93;75;78;59;81;97;83;106;59;77;85;97
"электрокотел 45 квт для отопления";0;0;22;0;0;0;0;4;20;16;12;67;11;8;0;0
